NumeroFactura,FechaVenta,Precio,Cantidad,ReferenciaProducto,CodigoMarca,IdUser,MedioPago,Talla,Color,Fabricante,ClaseProducto,NombreTienda,DepartamentoTienda,CiudadTienda
fact14,2024-01-02,9235.29,1.0,ref12,marca4,id14,EFECTIVO,talla6,color12,fabricante1,claseprod1,tienda13,BOYACÁ,DUITAMA
fact15,2024-01-02,16798.32,1.0,ref13,marca1,id15,TARJETA DE DEBITO,talla6,color1,fabricante1,claseprod1,tienda14,NORTE DE SANTANDER,CÚCUTA
fact16,2024-01-02,17638.66,1.0,ref14,marca2,id16,EFECTIVO,talla6,color13,fabricante1,claseprod2,tienda15,CALDAS,MANIZALES
fact17,2024-01-02,19319.33,1.0,ref15,marca1,id17,EFECTIVO,talla3,color14,fabricante1,claseprod1,tienda12,HUILA,GARZÓN
fact18,2024-01-02,0.0,1.0,ref16,marca2,id18,EFECTIVO,talla3,color15,fabricante1,claseprod2,tienda16,RISARALDA,SANTA ROSA DE CABAL
fact19,2024-01-02,25201.68,1.0,ref17,marca1,id19,TARJETA DE DEBITO,talla6,color6,fabricante1,claseprod7,tienda13,BOYACÁ,DUITAMA
fact20,2024-01-02,20159.66,1.0,ref8,marca2,id20,EFECTIVO,talla3,color16,fabricante1,claseprod2,tienda17,META,VILLAVICENCIO
fact21,2024-01-02,21000.0,1.0,ref18,marca1,id21,TARJETA DE DEBITO,talla2,color6,fabricante1,claseprod1,tienda18,CALDAS,MANIZALES
fact22,2024-01-02,70.59,1.0,ref11,marca3,id22,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda9,RISARALDA,PEREIRA
fact23,2024-01-02,16798.32,1.0,ref19,marca1,id23,EFECTIVO,talla2,color10,fabricante1,claseprod1,tienda19,BOGOTÁ D.C.,BOGOTÁ D.C.
fact24,2024-01-02,70.59,1.0,ref20,marca3,id24,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda20,BOGOTÁ D.C.,BOGOTÁ D.C.
fact25,2024-01-02,17638.66,1.0,ref21,marca2,id25,EFECTIVO,talla2,color17,fabricante1,claseprod2,tienda10,NARIÑO,IPIALES
fact26,2024-01-02,0.0,1.0,ref22,marca5,id26,TARJETA DE CREDITO,talla9,color10,fabricante3,claseprod8,tienda21,BOYACÁ,TUNJA
fact27,2024-01-02,22680.67,1.0,ref23,marca2,id27,EFECTIVO,talla7,color18,fabricante1,claseprod9,tienda22,ANTIOQUIA,MEDELLÍN
fact28,2024-01-02,0.0,1.0,ref24,marca2,id28,TARJETA DE CREDITO,talla2,color19,fabricante1,claseprod2,tienda23,TOLIMA,IBAGUÉ
fact29,2024-01-02,8394.96,1.0,ref25,marca1,id29,EFECTIVO,talla4,color20,fabricante1,claseprod1,tienda14,NORTE DE SANTANDER,CÚCUTA
fact30,2024-01-02,25201.68,1.0,ref26,marca2,id30,EFECTIVO,talla2,color5,fabricante1,claseprod9,tienda24,BOGOTÁ D.C.,BOGOTÁ D.C.
fact31,2024-01-02,19319.33,1.0,ref27,marca6,id31,TARJETA DE DEBITO,talla7,color21,fabricante4,claseprod4,tienda25,CUNDINAMARCA,MOSQUERA
fact32,2024-01-02,17638.66,1.0,ref28,marca2,id32,TARJETA DE DEBITO,talla6,color22,fabricante1,claseprod2,tienda23,TOLIMA,IBAGUÉ
fact33,2024-01-02,70.59,1.0,ref20,marca3,id33,TARJETA DE DEBITO,talla8,color10,fabricante1,claseprod6,tienda11,BOYACÁ,CHIQUINQUIRÁ
fact34,2024-01-02,31084.03,1.0,ref29,marca7,id34,EFECTIVO,talla8,color21,fabricante5,claseprod8,tienda25,CUNDINAMARCA,MOSQUERA
fact35,2024-01-02,23521.01,1.0,ref30,marca2,id35,EFECTIVO,talla2,color23,fabricante1,claseprod2,tienda26,ANTIOQUIA,RIONEGRO
fact36,2024-01-02,31084.03,1.0,ref31,marca2,id36,TARJETA DE DEBITO,talla6,color24,fabricante1,claseprod9,tienda6,TOLIMA,MELGAR
fact37,2024-01-02,9235.29,1.0,ref12,marca4,id37,TARJETA DE DEBITO,talla6,color6,fabricante1,claseprod1,tienda27,RISARALDA,PEREIRA
fact38,2024-01-02,37806.72,1.0,ref32,marca1,id38,TARJETA DE CREDITO,talla6,color9,fabricante1,claseprod1,tienda28,ANTIOQUIA,BELLO
fact39,2024-01-02,22680.67,1.0,ref23,marca2,id39,TARJETA DE DEBITO,talla2,color25,fabricante1,claseprod9,tienda22,ANTIOQUIA,MEDELLÍN
fact40,2024-01-02,70.59,1.0,ref20,marca3,id40,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda29,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATÉ
fact41,2024-01-02,23521.01,1.0,ref30,marca2,id41,MULTIPLE,talla7,color26,fabricante1,claseprod2,tienda30,BOGOTÁ D.C.,BOGOTÁ D.C.
fact42,2024-01-02,0.0,1.0,ref33,marca2,id42,EFECTIVO,talla3,color3,fabricante1,claseprod2,tienda31,BOGOTÁ D.C.,BOGOTÁ D.C.
fact43,2024-01-02,19319.33,1.0,ref34,marca2,id43,MULTIPLE,talla2,color27,fabricante1,claseprod2,tienda32,CUNDINAMARCA,SOACHA
fact44,2024-01-02,16798.32,1.0,ref13,marca1,id44,EFECTIVO,talla6,color5,fabricante1,claseprod1,tienda23,TOLIMA,IBAGUÉ
fact45,2024-01-02,12596.64,1.0,ref35,marca1,id45,TARJETA DE DEBITO,talla2,color28,fabricante1,claseprod1,tienda27,RISARALDA,PEREIRA
fact46,2024-01-02,22680.67,1.0,ref36,marca8,id46,TARJETA DE DEBITO,talla10,color29,fabricante1,claseprod7,tienda9,RISARALDA,PEREIRA
fact47,2024-01-02,70.59,1.0,ref20,marca3,id47,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda33,ANTIOQUIA,ITAGUI
fact48,2024-01-02,12596.64,3.0,ref37,marca9,id48,EFECTIVO,talla8,color30,fabricante1,claseprod10,tienda34,BOGOTÁ D.C.,BOGOTÁ D.C.
fact49,2024-01-02,19319.33,1.0,ref38,marca2,id49,EFECTIVO,talla11,color1,fabricante3,claseprod11,tienda24,BOGOTÁ D.C.,BOGOTÁ D.C.
fact50,2024-01-02,22680.67,1.0,ref39,marca4,id50,EFECTIVO,talla12,color31,fabricante1,claseprod1,tienda15,CALDAS,MANIZALES
fact51,2024-01-02,70.59,1.0,ref20,marca3,id51,TARJETA DE CREDITO,talla8,color10,fabricante1,claseprod6,tienda35,CALDAS,MANIZALES
fact52,2024-01-02,10075.63,2.0,ref40,marca5,id52,EFECTIVO,talla11,color30,fabricante3,claseprod11,tienda36,META,ACACÍAS
fact53,2024-01-02,12596.64,1.0,ref41,marca1,id53,EFECTIVO,talla3,color5,fabricante1,claseprod6,tienda8,ANTIOQUIA,MEDELLÍN
fact54,2024-01-02,70.59,1.0,ref20,marca3,id54,TARJETA DE DEBITO,talla8,color10,fabricante1,claseprod6,tienda37,ANTIOQUIA,SABANETA
fact55,2024-01-02,9235.29,1.0,ref42,marca4,id55,EFECTIVO,talla3,color32,fabricante1,claseprod1,tienda33,ANTIOQUIA,ITAGUI
fact56,2024-01-02,17638.66,1.0,ref33,marca2,id56,TARJETA DE DEBITO,talla3,color6,fabricante1,claseprod2,tienda22,ANTIOQUIA,MEDELLÍN
fact57,2024-01-02,16798.32,1.0,ref43,marca2,id57,EFECTIVO,talla11,color30,fabricante3,claseprod11,tienda38,BOGOTÁ D.C.,BOGOTÁ D.C.
fact58,2024-01-02,21421.43,1.0,ref44,marca2,id58,TARJETA DE DEBITO,talla2,color1,fabricante1,claseprod9,tienda39,BOGOTÁ D.C.,BOGOTÁ D.C.
fact59,2024-01-02,16798.32,1.0,ref45,marca1,id59,TARJETA DE DEBITO,talla13,color30,fabricante3,claseprod12,tienda33,ANTIOQUIA,ITAGUI
fact60,2024-01-02,9235.29,1.0,ref12,marca4,id60,EFECTIVO,talla2,color6,fabricante1,claseprod1,tienda27,RISARALDA,PEREIRA
fact61,2024-01-02,17638.66,1.0,ref46,marca2,id61,TARJETA DE DEBITO,talla2,color3,fabricante1,claseprod2,tienda2,BOGOTÁ D.C.,BOGOTÁ D.C.
fact62,2024-01-02,15117.65,1.0,ref47,marca1,id62,EFECTIVO,talla3,color33,fabricante1,claseprod1,tienda40,ANTIOQUIA,EL CARMEN DE VIBORAL
fact63,2024-01-02,0.0,1.0,ref48,marca5,id63,TARJETA DE CREDITO,talla6,color34,fabricante1,claseprod3,tienda12,HUILA,GARZÓN
fact64,2024-01-02,70.59,1.0,ref20,marca3,id64,TARJETA DE CREDITO,talla8,color10,fabricante1,claseprod6,tienda41,BOGOTÁ D.C.,BOGOTÁ D.C.
fact65,2024-01-02,17638.66,2.0,ref33,marca2,id65,TARJETA DE DEBITO,talla2,color35,fabricante1,claseprod2,tienda22,ANTIOQUIA,MEDELLÍN
fact66,2024-01-02,16798.32,1.0,ref49,marca10,id66,EFECTIVO,talla14,color33,fabricante1,claseprod7,tienda7,ANTIOQUIA,EL SANTUARIO
fact67,2024-01-02,17638.66,1.0,ref33,marca2,id67,TARJETA DE DEBITO,talla6,color35,fabricante1,claseprod2,tienda1,VALLE DEL CAUCA,CALI
fact68,2024-01-02,8394.96,1.0,ref50,marca1,id68,EFECTIVO,talla2,color4,fabricante2,claseprod4,tienda8,ANTIOQUIA,MEDELLÍN
fact69,2024-01-02,16802.52,1.0,ref51,marca2,id69,TARJETA DE DEBITO,talla7,color5,fabricante1,claseprod3,tienda42,BOGOTÁ D.C.,BOGOTÁ D.C.
fact70,2024-01-02,8394.96,1.0,ref52,marca4,id70,TARJETA DE CREDITO,talla2,color5,fabricante1,claseprod1,tienda43,VALLE DEL CAUCA,PALMIRA
fact71,2024-01-02,10707.14,1.0,ref53,marca1,id71,MULTIPLE,talla6,color36,fabricante1,claseprod1,tienda44,BOGOTÁ D.C.,BOGOTÁ D.C.
fact72,2024-01-02,21004.2,1.0,ref54,marca1,id72,EFECTIVO,talla8,color37,fabricante2,claseprod4,tienda30,BOGOTÁ D.C.,BOGOTÁ D.C.
fact73,2024-01-02,70.59,1.0,ref20,marca3,id73,TARJETA DE CREDITO,talla8,color10,fabricante1,claseprod6,tienda45,RISARALDA,DOSQUEBRADAS
fact74,2024-01-02,22680.67,1.0,ref55,marca1,id74,EFECTIVO,talla3,color38,fabricante1,claseprod1,tienda26,ANTIOQUIA,RIONEGRO
fact75,2024-01-02,23521.01,1.0,ref30,marca2,id75,EFECTIVO,talla6,color26,fabricante1,claseprod2,tienda46,BOGOTÁ D.C.,BOGOTÁ D.C.
fact76,2024-01-02,15117.65,1.0,ref56,marca1,id76,TARJETA DE CREDITO,talla6,color39,fabricante1,claseprod1,tienda23,TOLIMA,IBAGUÉ
fact77,2024-01-02,16421.43,1.0,ref15,marca1,id77,TARJETA DE DEBITO,talla6,color1,fabricante1,claseprod1,tienda39,BOGOTÁ D.C.,BOGOTÁ D.C.
fact78,2024-01-02,25201.68,1.0,ref57,marca2,id78,TARJETA DE CREDITO,talla2,color40,fabricante1,claseprod9,tienda16,RISARALDA,SANTA ROSA DE CABAL
fact79,2024-01-02,25201.68,1.0,ref17,marca1,id79,TARJETA DE DEBITO,talla6,color41,fabricante1,claseprod7,tienda47,BOGOTÁ D.C.,BOGOTÁ D.C.
fact80,2024-01-02,21000.0,1.0,ref58,marca2,id80,TARJETA DE DEBITO,talla2,color42,fabricante1,claseprod7,tienda39,BOGOTÁ D.C.,BOGOTÁ D.C.
fact81,2024-01-02,24361.34,1.0,ref59,marca2,id81,EFECTIVO,talla2,color6,fabricante1,claseprod9,tienda30,BOGOTÁ D.C.,BOGOTÁ D.C.
fact82,2024-01-02,22680.67,1.0,ref39,marca4,id82,EFECTIVO,talla15,color43,fabricante1,claseprod1,tienda48,META,GRANADA
fact83,2024-01-02,17638.66,1.0,ref60,marca2,id83,TARJETA DE DEBITO,talla6,color44,fabricante1,claseprod2,tienda1,VALLE DEL CAUCA,CALI
fact84,2024-01-02,20159.66,1.0,ref8,marca2,id84,EFECTIVO,talla3,color45,fabricante1,claseprod2,tienda17,META,VILLAVICENCIO
fact85,2024-01-02,0.0,1.0,ref61,marca2,id85,TARJETA DE CREDITO,talla6,color46,fabricante1,claseprod2,tienda49,BOGOTÁ D.C.,BOGOTÁ D.C.
fact86,2024-01-02,16802.52,4.0,ref62,marca2,id86,TARJETA DE DEBITO,talla6,color1,fabricante1,claseprod3,tienda50,ANTIOQUIA,MEDELLÍN
fact87,2024-01-02,61336.13,1.0,ref63,marca11,id87,EFECTIVO,talla8,color30,fabricante6,claseprod8,tienda25,CUNDINAMARCA,MOSQUERA
fact88,2024-01-02,70.59,2.0,ref20,marca3,id88,TARJETA DE DEBITO,talla8,color10,fabricante1,claseprod6,tienda30,BOGOTÁ D.C.,BOGOTÁ D.C.
fact89,2024-01-02,19319.33,1.0,ref64,marca1,id89,EFECTIVO,talla2,color47,fabricante1,claseprod1,tienda21,BOYACÁ,TUNJA
fact90,2024-01-02,12596.64,1.0,ref65,marca1,id90,TARJETA DE DEBITO,talla2,color48,fabricante1,claseprod1,tienda19,BOGOTÁ D.C.,BOGOTÁ D.C.
fact91,2024-01-02,15117.65,1.0,ref47,marca1,id91,EFECTIVO,talla7,color33,fabricante1,claseprod1,tienda51,VALLE DEL CAUCA,VALLEDUPAR
fact92,2024-01-02,70.59,1.0,ref20,marca3,id92,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda52,HUILA,PITALITO
fact93,2024-01-02,14277.31,1.0,ref66,marca12,id93,TARJETA DE CREDITO,talla11,color30,fabricante2,claseprod8,tienda21,BOYACÁ,TUNJA
fact94,2024-01-02,19319.33,1.0,ref67,marca2,id94,EFECTIVO,talla11,color21,fabricante3,claseprod8,tienda15,CALDAS,MANIZALES
fact95,2024-01-02,19319.33,2.0,ref68,marca1,id95,EFECTIVO,talla13,color30,fabricante3,claseprod11,tienda35,CALDAS,MANIZALES
fact96,2024-01-02,12596.64,1.0,ref53,marca1,id96,TARJETA DE DEBITO,talla2,color6,fabricante1,claseprod1,tienda21,BOYACÁ,TUNJA
fact97,2024-01-02,17638.66,1.0,ref69,marca2,id97,EFECTIVO,talla2,color49,fabricante1,claseprod2,tienda35,CALDAS,MANIZALES
fact98,2024-01-02,14277.31,1.0,ref70,marca1,id98,TARJETA DE DEBITO,talla2,color6,fabricante1,claseprod1,tienda5,ANTIOQUIA,MEDELLÍN
fact99,2024-01-02,15117.65,1.0,ref71,marca1,id99,TARJETA DE CREDITO,talla7,color50,fabricante1,claseprod1,tienda2,BOGOTÁ D.C.,BOGOTÁ D.C.
fact100,2024-01-02,12596.64,1.0,ref72,marca1,id100,EFECTIVO,talla2,color5,fabricante1,claseprod1,tienda35,CALDAS,MANIZALES
fact101,2024-01-02,31084.03,1.0,ref73,marca2,id101,EFECTIVO,talla16,color24,fabricante1,claseprod9,tienda11,BOYACÁ,CHIQUINQUIRÁ
fact102,2024-01-02,70.59,1.0,ref20,marca3,id102,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda53,BOGOTÁ D.C.,BOGOTÁ D.C.
fact103,2024-01-02,20159.66,1.0,ref24,marca2,id103,EFECTIVO,talla3,color51,fabricante1,claseprod2,tienda34,BOGOTÁ D.C.,BOGOTÁ D.C.
fact104,2024-01-02,21000.0,1.0,ref74,marca1,id104,EFECTIVO,talla6,color6,fabricante1,claseprod1,tienda54,BOGOTÁ D.C.,BOGOTÁ D.C.
fact105,2024-01-02,22680.67,1.0,ref75,marca2,id105,MULTIPLE,talla6,color6,fabricante1,claseprod7,tienda2,BOGOTÁ D.C.,BOGOTÁ D.C.
fact106,2024-01-02,17638.66,1.0,ref60,marca2,id106,MULTIPLE,talla3,color3,fabricante1,claseprod2,tienda55,VALLE DEL CAUCA,PALMIRA
fact107,2024-01-02,21000.0,1.0,ref18,marca1,id107,EFECTIVO,talla3,color1,fabricante1,claseprod1,tienda56,HUILA,PITALITO
fact108,2024-01-02,15117.65,1.0,ref76,marca1,id108,EFECTIVO,talla2,color32,fabricante1,claseprod1,tienda57,CUNDINAMARCA,LA MESA
fact109,2024-01-02,12596.64,1.0,ref48,marca5,id109,EFECTIVO,talla6,color5,fabricante1,claseprod3,tienda58,NORTE DE SANTANDER,CÚCUTA
fact110,2024-01-02,9235.29,1.0,ref12,marca4,id110,EFECTIVO,talla7,color1,fabricante1,claseprod1,tienda4,VALLE DEL CAUCA,TULUÁ
fact111,2024-01-02,70.59,1.0,ref11,marca3,id111,TARJETA DE DEBITO,talla8,color10,fabricante1,claseprod6,tienda59,CUNDINAMARCA,MOSQUERA
fact112,2024-01-02,14277.31,1.0,ref77,marca12,id112,TARJETA DE DEBITO,talla11,color30,fabricante2,claseprod8,tienda11,BOYACÁ,CHIQUINQUIRÁ
fact113,2024-01-02,14277.31,1.0,ref78,marca1,id113,EFECTIVO,talla6,color6,fabricante1,claseprod1,tienda35,CALDAS,MANIZALES
fact114,2024-01-02,17638.66,1.0,ref60,marca2,id114,EFECTIVO,talla6,color35,fabricante1,claseprod2,tienda60,ANTIOQUIA,BELLO
fact115,2024-01-02,0.0,1.0,ref79,marca2,id115,TARJETA DE DEBITO,talla2,color52,fabricante1,claseprod2,tienda15,CALDAS,MANIZALES
fact116,2024-01-02,42008.4,1.0,ref80,marca1,id116,TARJETA DE DEBITO,talla17,color5,fabricante1,claseprod7,tienda27,RISARALDA,PEREIRA
fact117,2024-01-02,70.59,1.0,ref11,marca3,id117,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda61,NORTE DE SANTANDER,CÚCUTA
fact118,2024-01-02,9235.29,2.0,ref81,marca13,id118,TARJETA DE DEBITO,talla11,color6,fabricante3,claseprod11,tienda36,META,ACACÍAS
fact119,2024-01-02,70.59,1.0,ref11,marca3,id119,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda7,ANTIOQUIA,EL SANTUARIO
fact120,2024-01-02,25201.68,1.0,ref82,marca2,id120,EFECTIVO,talla2,color53,fabricante1,claseprod9,tienda62,HUILA,NEIVA
fact121,2024-01-02,9235.29,1.0,ref81,marca13,id121,TARJETA DE CREDITO,talla11,color30,fabricante3,claseprod11,tienda33,ANTIOQUIA,ITAGUI
fact122,2024-01-02,22680.67,1.0,ref39,marca4,id122,TARJETA DE DEBITO,talla12,color54,fabricante1,claseprod1,tienda19,BOGOTÁ D.C.,BOGOTÁ D.C.
fact123,2024-01-02,12596.64,1.0,ref83,marca1,id123,TARJETA DE DEBITO,talla6,color55,fabricante1,claseprod1,tienda8,ANTIOQUIA,MEDELLÍN
fact124,2024-01-02,14278.57,1.0,ref45,marca1,id124,TARJETA DE CREDITO,talla13,color30,fabricante3,claseprod12,tienda23,TOLIMA,IBAGUÉ
fact125,2024-01-02,12596.64,1.0,ref84,marca1,id125,EFECTIVO,talla2,color14,fabricante1,claseprod1,tienda63,ANTIOQUIA,MEDELLÍN
fact126,2024-01-02,24361.34,1.0,ref59,marca2,id126,EFECTIVO,talla6,color6,fabricante1,claseprod9,tienda19,BOGOTÁ D.C.,BOGOTÁ D.C.
fact127,2024-01-02,16802.52,1.0,ref85,marca1,id127,EFECTIVO,talla2,color6,fabricante1,claseprod1,tienda45,RISARALDA,DOSQUEBRADAS
fact128,2024-01-02,58815.13,1.0,ref86,marca1,id128,TARJETA DE DEBITO,talla1,color6,fabricante1,claseprod1,tienda64,ANTIOQUIA,LA CEJA
fact129,2024-01-02,17638.66,1.0,ref87,marca2,id129,EFECTIVO,talla6,color56,fabricante1,claseprod2,tienda47,BOGOTÁ D.C.,BOGOTÁ D.C.
fact130,2024-01-02,19319.33,1.0,ref88,marca2,id130,EFECTIVO,talla2,color57,fabricante1,claseprod2,tienda65,CUNDINAMARCA,SOACHA
fact131,2024-01-02,22680.67,1.0,ref89,marca2,id131,EFECTIVO,talla2,color6,fabricante1,claseprod7,tienda32,CUNDINAMARCA,SOACHA
fact132,2024-01-02,14277.31,1.0,ref90,marca12,id132,EFECTIVO,talla11,color30,fabricante2,claseprod8,tienda63,ANTIOQUIA,MEDELLÍN
fact133,2024-01-02,0.0,1.0,ref91,marca2,id133,EFECTIVO,talla6,color58,fabricante1,claseprod3,tienda14,NORTE DE SANTANDER,CÚCUTA
fact134,2024-01-02,15117.65,1.0,ref47,marca1,id134,EFECTIVO,talla2,color47,fabricante1,claseprod1,tienda25,CUNDINAMARCA,MOSQUERA
fact135,2024-01-02,17638.66,1.0,ref92,marca2,id135,EFECTIVO,talla6,color59,fabricante1,claseprod2,tienda65,CUNDINAMARCA,SOACHA
fact136,2024-01-02,17638.66,1.0,ref93,marca2,id136,TARJETA DE DEBITO,talla6,color6,fabricante1,claseprod2,tienda17,META,VILLAVICENCIO
fact137,2024-01-02,12596.64,1.0,ref83,marca1,id137,TARJETA DE CREDITO,talla7,color6,fabricante1,claseprod1,tienda55,VALLE DEL CAUCA,PALMIRA
fact138,2024-01-02,12596.64,1.0,ref48,marca5,id138,EFECTIVO,talla2,color6,fabricante1,claseprod3,tienda32,CUNDINAMARCA,SOACHA
fact139,2024-01-02,9235.29,1.0,ref12,marca4,id139,EFECTIVO,talla2,color60,fabricante1,claseprod1,tienda9,RISARALDA,PEREIRA
fact140,2024-01-02,12596.64,1.0,ref48,marca5,id140,EFECTIVO,talla2,color5,fabricante1,claseprod3,tienda65,CUNDINAMARCA,SOACHA
fact141,2024-01-02,25201.68,1.0,ref17,marca1,id141,EFECTIVO,talla2,color6,fabricante1,claseprod7,tienda54,BOGOTÁ D.C.,BOGOTÁ D.C.
fact142,2024-01-02,70.59,1.0,ref20,marca3,id142,TARJETA DE DEBITO,talla8,color10,fabricante1,claseprod6,tienda21,BOYACÁ,TUNJA
fact143,2024-01-02,17638.66,1.0,ref94,marca1,id143,MULTIPLE,talla18,color21,fabricante3,claseprod4,tienda19,BOGOTÁ D.C.,BOGOTÁ D.C.
fact144,2024-01-02,70.59,1.0,ref20,marca3,id144,TARJETA DE CREDITO,talla8,color10,fabricante1,claseprod6,tienda28,ANTIOQUIA,BELLO
fact145,2024-01-02,16798.32,1.0,ref95,marca1,id145,TARJETA DE DEBITO,talla6,color10,fabricante1,claseprod1,tienda19,BOGOTÁ D.C.,BOGOTÁ D.C.
fact146,2024-01-02,0.0,1.0,ref96,marca2,id146,TARJETA DE DEBITO,talla7,color5,fabricante1,claseprod2,tienda66,CUNDINAMARCA,FUSAGASUGÁ
fact147,2024-01-02,11756.3,1.0,ref97,marca2,id147,EFECTIVO,talla19,color61,fabricante1,claseprod9,tienda65,CUNDINAMARCA,SOACHA
fact148,2024-01-02,17638.66,1.0,ref87,marca2,id148,EFECTIVO,talla7,color62,fabricante1,claseprod2,tienda67,BOGOTÁ D.C.,BOGOTÁ D.C.
fact149,2024-01-02,70.59,1.0,ref98,marca3,id149,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda68,CUNDINAMARCA,CAJICÁ
fact150,2024-01-02,19319.33,1.0,ref34,marca2,id150,EFECTIVO,talla6,color3,fabricante1,claseprod2,tienda11,BOYACÁ,CHIQUINQUIRÁ
fact151,2024-01-02,19319.33,1.0,ref99,marca2,id151,MULTIPLE,talla2,color63,fabricante1,claseprod9,tienda69,BOGOTÁ D.C.,BOGOTÁ D.C.
fact152,2024-01-02,14277.31,1.0,ref100,marca1,id152,EFECTIVO,talla6,color64,fabricante1,claseprod1,tienda50,ANTIOQUIA,MEDELLÍN
fact153,2024-01-02,8394.96,1.0,ref101,marca14,id153,TARJETA DE DEBITO,talla8,color6,fabricante2,claseprod4,tienda70,CAQUETÁ,FLORENCIA
fact154,2024-01-02,0.0,1.0,ref23,marca2,id154,TARJETA DE CREDITO,talla2,color65,fabricante1,claseprod9,tienda30,BOGOTÁ D.C.,BOGOTÁ D.C.
fact155,2024-01-02,8394.96,1.0,ref102,marca1,id155,EFECTIVO,talla2,color66,fabricante2,claseprod4,tienda54,BOGOTÁ D.C.,BOGOTÁ D.C.
fact156,2024-01-02,19319.33,1.0,ref103,marca2,id156,EFECTIVO,talla3,color1,fabricante1,claseprod3,tienda33,ANTIOQUIA,ITAGUI
fact157,2024-01-02,19319.33,1.0,ref104,marca1,id157,EFECTIVO,talla2,color6,fabricante1,claseprod1,tienda23,TOLIMA,IBAGUÉ
fact158,2024-01-02,17638.66,1.0,ref105,marca2,id158,TARJETA DE CREDITO,talla9,color10,fabricante3,claseprod8,tienda71,BOGOTÁ D.C.,BOGOTÁ D.C.
fact159,2024-01-02,70.59,1.0,ref11,marca3,id159,TARJETA DE DEBITO,talla8,color10,fabricante1,claseprod6,tienda40,ANTIOQUIA,EL CARMEN DE VIBORAL
fact160,2024-01-02,12596.64,1.0,ref106,marca1,id160,EFECTIVO,talla7,color67,fabricante1,claseprod1,tienda47,BOGOTÁ D.C.,BOGOTÁ D.C.
fact161,2024-01-02,21000.0,1.0,ref107,marca1,id161,EFECTIVO,talla6,color1,fabricante1,claseprod1,tienda54,BOGOTÁ D.C.,BOGOTÁ D.C.
fact162,2024-01-02,19319.33,1.0,ref15,marca1,id162,TARJETA DE DEBITO,talla7,color14,fabricante1,claseprod1,tienda24,BOGOTÁ D.C.,BOGOTÁ D.C.
fact163,2024-01-02,70.59,1.0,ref11,marca3,id163,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda55,VALLE DEL CAUCA,PALMIRA
